RSSI1,RSSI2,RSSI3,Distance1,Distance2,Distance3,PosX,PosY,Region
-51.411,-52.105,-53.536,154.125,162.786,182.237,105.812,88.67,Region8
-51.411,-52.105,-53.536,154.125,162.786,182.237,105.754,88.712,Region8
-50.999,-52.105,-53.536,149.187,162.786,182.237,105.272,88.75,Region8
-50.999,-52.105,-53.713,149.187,162.786,184.801,104.642,88.511,Region8
-50.999,-52.105,-53.506,149.187,162.786,181.803,104.329,88.618,Region8
-50.999,-52.105,-53.506,149.187,162.786,181.803,104.055,88.713,Region8
-50.999,-52.105,-53.506,149.187,162.786,181.803,103.813,88.795,Region8
-51.362,-52.105,-53.506,153.523,162.786,181.803,103.979,88.868,Region8
-51.362,-52.105,-53.445,153.523,162.786,180.928,104.194,89.024,Region8
-51.362,-52.105,-53.445,153.523,162.786,180.928,104.384,89.161,Region8
-51.362,-52.105,-53.445,153.523,162.786,180.928,104.55,89.281,Region8
-51.362,-52.105,-53.445,153.523,162.786,180.928,104.697,89.386,Region8
-51.362,-52.105,-53.391,153.523,162.786,180.161,104.886,89.559,Region8
-51.197,-52.105,-53.391,151.54,162.786,180.161,104.878,89.711,Region8
-51.294,-52.105,-53.391,152.706,162.786,180.161,104.974,89.844,Region8
-51.294,-52.105,-53.465,152.706,162.786,181.212,104.974,89.852,Region8
-51.294,-52.105,-53.408,152.706,162.786,180.41,105.038,89.942,Region8
-51.138,-52.105,-53.408,150.831,162.786,180.41,104.931,90.022,Region8
-51.138,-52.105,-53.408,150.831,162.786,180.41,104.836,90.091,Region8
-51.138,-52.105,-53.601,150.831,162.786,183.171,104.532,89.864,Region8
-51.138,-52.105,-53.528,150.831,162.786,182.124,104.35,89.773,Region8
-50.879,-52.105,-53.528,147.785,162.786,182.124,103.927,89.694,Region8
-50.879,-52.105,-53.528,147.785,162.786,182.124,103.555,89.625,Region8
-50.879,-52.105,-53.706,147.785,162.786,184.7,103.021,89.291,Region8
-50.879,-52.105,-53.5,147.785,162.786,181.716,102.792,89.313,Region8
-50.879,-52.105,-53.5,147.785,162.786,181.716,102.59,89.332,Region8
-50.53,-52.105,-53.5,143.78,162.786,181.716,102.076,89.349,Region8
-50.53,-52.105,-53.681,143.78,162.786,184.337,101.414,89.088,Region8
-50.53,-52.105,-53.72,143.78,162.786,184.898,100.786,88.798,Region8
