,RSSI1,RSSI2,RSSI3,Distance1,Distance2,Distance3,PosX,PosY
0,-51.411,-52.105,-53.536,154.125,162.786,182.237,105.81200000000001,88.67
1,-51.411,-52.105,-53.536,154.125,162.786,182.237,105.75399999999999,88.712
2,-50.998999999999995,-52.105,-53.536,149.187,162.786,182.237,105.272,88.75
3,-50.998999999999995,-52.105,-53.713,149.187,162.786,184.801,104.64200000000001,88.51100000000001
4,-50.998999999999995,-52.105,-53.506,149.187,162.786,181.803,104.329,88.618
5,-50.998999999999995,-52.105,-53.506,149.187,162.786,181.803,104.055,88.713
6,-50.998999999999995,-52.105,-53.506,149.187,162.786,181.803,103.81299999999999,88.795
7,-51.361999999999995,-52.105,-53.506,153.523,162.786,181.803,103.979,88.868
8,-51.361999999999995,-52.105,-53.445,153.523,162.786,180.928,104.194,89.024
9,-51.361999999999995,-52.105,-53.445,153.523,162.786,180.928,104.384,89.161
10,-51.361999999999995,-52.105,-53.445,153.523,162.786,180.928,104.55,89.281
11,-51.361999999999995,-52.105,-53.445,153.523,162.786,180.928,104.697,89.38600000000001
12,-51.361999999999995,-52.105,-53.391000000000005,153.523,162.786,180.16099999999997,104.88600000000001,89.559
13,-51.196999999999996,-52.105,-53.391000000000005,151.54,162.786,180.16099999999997,104.87799999999999,89.711
14,-51.294,-52.105,-53.391000000000005,152.70600000000002,162.786,180.16099999999997,104.97399999999999,89.844
15,-51.294,-52.105,-53.465,152.70600000000002,162.786,181.21200000000002,104.97399999999999,89.852
16,-51.294,-52.105,-53.408,152.70600000000002,162.786,180.41,105.038,89.94200000000001
17,-51.138000000000005,-52.105,-53.408,150.83100000000002,162.786,180.41,104.931,90.022
18,-51.138000000000005,-52.105,-53.408,150.83100000000002,162.786,180.41,104.836,90.09100000000001
19,-51.138000000000005,-52.105,-53.601000000000006,150.83100000000002,162.786,183.171,104.53200000000001,89.86399999999999
20,-51.138000000000005,-52.105,-53.528,150.83100000000002,162.786,182.12400000000002,104.35,89.773
21,-50.879,-52.105,-53.528,147.785,162.786,182.12400000000002,103.927,89.694
22,-50.879,-52.105,-53.528,147.785,162.786,182.12400000000002,103.555,89.625
23,-50.879,-52.105,-53.706,147.785,162.786,184.7,103.021,89.291
24,-50.879,-52.105,-53.5,147.785,162.786,181.71599999999998,102.792,89.31299999999999
25,-50.879,-52.105,-53.5,147.785,162.786,181.71599999999998,102.59,89.33200000000001
26,-50.53,-52.105,-53.5,143.78,162.786,181.71599999999998,102.07600000000001,89.34899999999999
34,-51.305,-52.105,-53.542,152.834,162.786,182.315,102.17299999999999,88.354
35,-51.147,-52.105,-53.542,150.942,162.786,182.315,102.27,88.426
36,-51.147,-52.105,-53.476000000000006,150.942,162.786,181.375,102.43,88.589
37,-51.147,-52.105,-53.476000000000006,150.942,162.786,181.375,102.571,88.73100000000001
38,-50.766000000000005,-52.105,-53.476000000000006,146.476,162.786,181.375,102.31200000000001,88.85700000000001
39,-50.766000000000005,-52.105,-53.538999999999994,146.476,162.786,182.28400000000002,102.012,88.87200000000001
41,-53.193000000000005,-50.766000000000005,-52.105,177.36700000000002,146.476,162.786,107.37299999999999,96.58200000000001
42,-53.193000000000005,-50.431000000000004,-52.105,177.36700000000002,142.66,162.786,112.275,103.712
43,-53.193000000000005,-50.431000000000004,-52.105,177.36700000000002,142.66,162.786,116.584,109.978
44,-53.193000000000005,-50.431000000000004,-52.105,177.36700000000002,142.66,162.786,120.37200000000001,115.486
45,-53.193000000000005,-50.431000000000004,-52.105,177.36700000000002,142.66,162.786,123.70100000000001,120.32799999999999
46,-53.193000000000005,-50.621,-52.105,177.36700000000002,144.812,162.786,126.546,124.243
47,-53.193000000000005,-50.621,-52.105,177.36700000000002,144.812,162.786,129.047,127.684
48,-50.621,-52.105,-53.102,144.812,162.786,176.108,125.85700000000001,123.637
49,-53.048,-50.621,-52.105,175.359,144.812,162.786,128.145,126.762
50,-53.048,-50.183,-52.105,175.359,139.893,162.786,130.338,130.28
51,-53.048,-50.523999999999994,-52.105,175.359,143.705,162.786,132.125,132.776
52,-50.523999999999994,-52.105,-52.968999999999994,143.705,162.786,174.265,128.613,128.299
53,-52.92100000000001,-50.523999999999994,-52.105,173.613,143.705,162.786,130.35299999999998,130.701
54,-50.523999999999994,-52.105,-52.968999999999994,143.705,162.786,174.265,127.055,126.475
55,-53.294,-50.523999999999994,-52.105,178.79,143.705,162.786,129.749,130.101
56,-53.294,-50.523999999999994,-52.213,178.79,143.705,164.18200000000002,131.985,133.287
57,-53.379,-50.523999999999994,-52.213,179.99900000000002,143.705,164.18200000000002,134.132,136.327
58,-53.576,-50.523999999999994,-52.213,182.805,143.705,164.18200000000002,136.445,139.559
59,-53.576,-50.339,-52.213,182.805,141.63,164.18200000000002,138.55700000000002,142.725
60,-53.576,-50.339,-52.213,182.805,141.63,164.18200000000002,140.41299999999998,145.50799999999998
61,-53.748000000000005,-50.339,-52.213,185.30700000000002,141.63,164.18200000000002,142.43,148.46200000000002
62,-50.339,-52.213,-53.75,141.63,164.18200000000002,185.33599999999998,136.594,141.071
63,-50.339,-51.703,-53.75,141.63,157.711,185.33599999999998,131.608,133.974
64,-54.021,-50.339,-51.703,189.333,141.63,157.711,135.923,139.153
65,-50.339,-51.703,-54.022,141.63,157.711,189.359,130.687,131.85399999999998
66,-50.339,-51.703,-54.022,141.63,157.711,189.359,126.085,125.43799999999999
69,-54.413999999999994,-50.339,-51.703,195.295,141.63,157.711,124.501,122.48700000000001
70,-51.943000000000005,-50.339,-51.703,160.722,141.63,157.711,125.479,123.546
71,-51.943000000000005,-50.339,-51.703,160.722,141.63,157.711,126.338,124.477
72,-51.943000000000005,-50.339,-51.703,160.722,141.63,157.711,127.09299999999999,125.295
73,-52.071000000000005,-50.339,-51.703,162.352,141.63,157.711,127.978,126.304
74,-52.071000000000005,-50.177,-51.703,162.352,139.83100000000002,157.711,128.821,127.47
75,-52.071000000000005,-50.177,-51.703,162.352,139.83100000000002,157.711,129.563,128.494
76,-52.071000000000005,-50.177,-51.703,162.352,139.83100000000002,157.711,130.215,129.394
77,-52.071000000000005,-50.177,-51.703,162.352,139.83100000000002,157.711,130.78799999999998,130.186
78,-52.54600000000001,-50.177,-51.703,168.55599999999998,139.83100000000002,157.711,132.15200000000002,132.011
79,-52.54600000000001,-50.177,-51.703,168.55599999999998,139.83100000000002,157.711,133.351,133.615
80,-52.54600000000001,-50.177,-51.703,168.55599999999998,139.83100000000002,157.711,134.405,135.025
81,-52.722,-50.177,-51.703,170.91,139.83100000000002,157.711,135.666,136.704
82,-53.24,-50.177,-51.703,178.032,139.83100000000002,157.711,137.817,139.547
83,-53.24,-50.177,-51.703,178.032,139.83100000000002,157.711,139.707,142.046
84,-53.24,-50.177,-51.703,178.032,139.83100000000002,157.711,141.368,144.243
85,-53.211000000000006,-50.177,-51.703,177.625,139.83100000000002,157.711,142.768,146.093
86,-53.211000000000006,-50.398,-51.703,177.625,142.285,157.711,143.907,147.339
87,-53.211000000000006,-50.35,-51.703,177.625,141.746,157.711,144.929,148.519
88,-53.211000000000006,-50.35,-51.703,177.625,141.746,157.711,145.827,149.556
89,-53.211000000000006,-50.18600000000001,-51.703,177.625,139.93200000000002,157.711,146.683,150.748
90,-53.211000000000006,-49.801,-51.703,177.625,135.74,157.711,147.58700000000002,152.43200000000002
91,-53.211000000000006,-49.801,-51.703,177.625,135.74,157.711,148.381,153.912
92,-53.211000000000006,-49.801,-51.703,177.625,135.74,157.711,149.08,155.213
93,-53.211000000000006,-49.801,-51.703,177.625,135.74,157.711,149.694,156.356
94,-53.18600000000001,-49.801,-51.703,177.267,135.74,157.711,150.18,157.291
95,-53.18600000000001,-49.801,-51.703,177.267,135.74,157.711,150.607,158.113
96,-53.18600000000001,-49.801,-51.703,177.267,135.74,157.711,150.983,158.836
97,-53.18600000000001,-50.309,-51.703,177.267,141.291,157.711,151.112,158.625
98,-53.163000000000004,-50.309,-51.703,176.954,141.291,157.711,151.179,158.378
99,-53.163000000000004,-50.309,-51.703,176.954,141.291,157.711,151.237,158.162
100,-53.163000000000004,-50.309,-51.703,176.954,141.291,157.711,151.289,157.971
101,-53.163000000000004,-50.309,-51.703,176.954,141.291,157.711,151.334,157.804
102,-53.263999999999996,-50.309,-51.703,178.373,141.291,157.711,151.585,157.934
103,-53.263999999999996,-50.309,-51.703,178.373,141.291,157.711,151.806,158.048
104,-53.263999999999996,-50.309,-51.703,178.373,141.291,157.711,152.0,158.149
105,-53.595,-50.309,-51.703,183.09099999999998,141.291,157.711,152.886,159.17600000000002
106,-54.129,-50.309,-51.703,190.952,141.291,157.711,154.89600000000002,161.696
107,-54.129,-50.309,-51.703,190.952,141.291,157.711,156.664,163.91099999999997
108,-50.309,-51.703,-53.985,141.291,157.711,188.8,148.936,153.67700000000002
109,-50.309,-51.703,-53.745,141.291,157.711,185.257,142.435,145.062
110,-50.151,-51.703,-53.745,139.537,157.711,185.257,136.578,137.491
111,-50.151,-51.703,-53.897,139.537,157.711,187.49,131.248,130.596
112,-50.151,-51.703,-53.909,139.537,157.711,187.675,126.54700000000001,124.516
113,-50.132,-51.703,-53.909,139.33700000000002,157.711,187.675,122.399,119.171
114,-50.132,-51.703,-53.909,139.33700000000002,157.711,187.675,118.75399999999999,114.47399999999999
115,-50.132,-50.287,-53.909,139.33700000000002,141.04399999999998,187.675,115.891,108.91
116,-50.132,-50.287,-53.799,139.33700000000002,141.04399999999998,186.054,113.508,104.194
117,-53.586000000000006,-50.132,-50.287,182.953,139.33700000000002,141.04399999999998,120.538,112.025
118,-53.586000000000006,-50.236999999999995,-50.287,182.953,140.495,141.04399999999998,126.67399999999999,118.73
119,-53.586000000000006,-50.236999999999995,-50.287,182.953,140.495,141.04399999999998,132.06799999999998,124.62299999999999
120,-53.586000000000006,-50.236999999999995,-50.287,182.953,140.495,141.04399999999998,136.809,129.803
121,-53.394,-50.236999999999995,-50.287,180.205,140.495,141.04399999999998,140.558,133.80700000000002
122,-53.394,-50.236999999999995,-50.373000000000005,180.205,140.495,142.007,143.775,137.327
123,-53.394,-50.451,-50.373000000000005,180.205,142.879,142.007,146.514,140.049
124,-53.394,-50.451,-50.373000000000005,180.205,142.879,142.007,148.921,142.441
125,-52.498999999999995,-50.451,-50.373000000000005,167.926,142.879,142.007,149.245,142.192
126,-52.498999999999995,-50.451,-49.843999999999994,167.926,142.879,136.202,149.995,141.97299999999998
127,-52.498999999999995,-50.638000000000005,-49.843999999999994,167.926,145.00799999999998,136.202,150.575,141.444
128,-52.498999999999995,-50.638000000000005,-49.843999999999994,167.926,145.00799999999998,136.202,151.084,140.97899999999998
129,-51.833,-50.638000000000005,-49.843999999999994,159.34,145.00799999999998,136.202,150.35299999999998,139.024
130,-51.975,-50.638000000000005,-49.843999999999994,161.124,145.00799999999998,136.202,149.951,137.62
131,-52.099,-50.638000000000005,-49.843999999999994,162.708,145.00799999999998,136.202,149.813,136.66899999999998
132,-52.099,-50.56100000000001,-49.843999999999994,162.708,144.127,136.202,149.724,135.972
133,-51.603,-50.56100000000001,-49.843999999999994,156.466,144.127,136.202,148.811,134.264
134,-52.135,-50.56100000000001,-49.843999999999994,163.173,144.127,136.202,148.908,133.942
135,-52.603,-50.56100000000001,-49.843999999999994,169.304,144.127,136.202,149.847,134.781
136,-52.603,-50.56100000000001,-49.843999999999994,169.304,144.127,136.202,150.672,135.518
137,-52.288000000000004,-50.56100000000001,-49.843999999999994,165.15099999999998,144.127,136.202,150.815,135.401
138,-52.373999999999995,-50.56100000000001,-49.843999999999994,166.27700000000002,144.127,136.202,151.09799999999998,135.504
