RSSI1,RSSI2,RSSI3,Distance1,Distance2,Distance3,PosX,PosY,Region
-72.758,-61.765,-55.582,46.013,12.979,6.37,2408264.559,416966.914,Region2
-72.758,-61.765,-55.754,46.013,12.979,6.497,2407312.496,416966.914,Region2
-72.758,-61.765,-55.905,46.013,12.979,6.611,2406444.359,416966.914,Region2
-72.787,-61.765,-55.905,46.169,12.979,6.611,2418622.05,419746.474,Region2
-72.787,-61.765,-55.553,46.169,12.979,6.348,2420610.295,419746.474,Region2
-72.787,-61.765,-55.728,46.169,12.979,6.478,2419639.823,419746.474,Region2
-72.934,-61.765,-55.728,46.956,12.979,6.478,2482827.439,434233.475,Region2
-72.934,-61.43,-55.728,46.956,12.488,6.478,2486238.959,436752.056,Region2
-72.934,-61.43,-55.64,46.956,12.488,6.412,2486745.817,436752.056,Region2
-72.934,-61.43,-55.805,46.956,12.488,6.535,2485791.001,436752.056,Region2
-72.458,-61.43,-55.805,44.451,12.488,6.535,2293462.978,392827.338,Region2
-72.039,-61.43,-55.805,42.36,12.488,6.535,2151595.65,361158.258,Region2
-72.039,-61.43,-55.828,42.36,12.488,6.553,2151474.366,361158.258,Region2
-72.039,-61.43,-55.849,42.36,12.488,6.568,2151367.222,361158.258,Region2
-72.039,-61.43,-55.988,42.36,12.488,6.675,2150635.652,361158.258,Region2
-72.039,-61.43,-56.111,42.36,12.488,6.769,2149973.177,361158.258,Region2
-72.039,-61.43,-56.218,42.36,12.488,6.854,2149375.436,361158.258,Region2
-72.039,-61.43,-56.192,42.36,12.488,6.833,2149523.661,361158.258,Region2
-72.039,-61.378,-56.192,42.36,12.414,6.833,2149962.928,361469.263,Region2
-72.039,-61.453,-56.192,42.36,12.522,6.833,2149326.253,361018.557,Region2
-72.039,-61.52,-56.192,42.36,12.618,6.833,2148757.612,360616.376,Region2
-72.039,-62.667,-56.192,42.36,14.4,6.833,2137414.695,352664.883,Region2
-72.034,-62.667,-56.192,42.337,14.4,6.833,2135943.886,352345.442,Region2
-71.667,-62.667,-56.192,40.584,14.4,6.833,2029468.519,329406.717,Region2
-71.667,-62.667,-56.048,40.584,14.4,6.72,2030217.513,329406.717,Region2
-71.667,-62.667,-56.042,40.584,14.4,6.716,2030247.005,329406.717,Region2
-71.667,-62.586,-56.042,40.584,14.266,6.716,2031099.605,329989.902,Region2
-71.828,-62.586,-56.042,41.345,14.266,6.716,2076132.946,339655.853,Region2
-71.828,-62.586,-55.795,41.345,14.266,6.527,2077386.207,339655.853,Region2
