RSSI1,RSSI2,RSSI3,Distance1,Distance2,Distance3,PosX,PosY,Region
-57.655,-52.862,-63.822,8.086,4.657,16.447,1124474.553,172471.626,Region0
-57.655,-52.862,-63.722,8.086,4.657,16.26,1126143.099,172471.626,Region0
-57.655,-52.862,-63.998,8.086,4.657,16.784,1121429.235,172471.626,Region0
-57.455,-52.862,-63.998,7.902,4.657,16.784,1120265.967,172236.015,Region0
-57.763,-52.862,-63.998,8.187,4.657,16.784,1122078.229,172603.109,Region0
-57.763,-52.862,-63.877,8.187,4.657,16.552,1124179.267,172603.109,Region0
-57.763,-52.862,-63.771,8.187,4.657,16.351,1125981.484,172603.109,Region0
-57.428,-52.862,-63.771,7.878,4.657,16.351,1124013.688,172205.898,Region0
-57.619,-52.862,-63.771,8.052,4.657,16.351,1125114.122,172428,Region0
-57.619,-53,-63.771,8.052,4.731,16.351,1125027.608,172372.122,Region0
-57.619,-53.121,-63.771,8.052,4.798,16.351,1124949.273,172321.539,Region0
-57.619,-54.196,-63.771,8.052,5.43,16.351,1124149.502,171805.75,Region0
-57.665,-54.196,-63.771,8.095,5.43,16.351,1124423.863,171860.983,Region0
-57.705,-54.196,-63.771,8.133,5.43,16.351,1124667.493,171910.033,Region0
-57.705,-54.196,-63.799,8.133,5.43,16.404,1124201.55,171910.033,Region0
-57.499,-54.196,-63.799,7.942,5.43,16.404,1122986.77,171665.394,Region0
-57.56,-54.196,-63.799,7.998,5.43,16.404,1123337.631,171736.043,Region0
-57.56,-54.196,-63.702,7.998,5.43,16.222,1124949.694,171736.043,Region0
-57.56,-54.196,-63.617,7.998,5.43,16.064,1126339.16,171736.043,Region0
-59.913,-54.196,-63.617,10.486,5.43,16.064,1144731.204,175439.314,Region0
-59.913,-54.196,-63.663,10.486,5.43,16.15,1143964.221,175439.314,Region0
-59.913,-54.196,-63.583,10.486,5.43,16.001,1145288.232,175439.314,Region0
-59.913,-54.196,-63.876,10.486,5.43,16.549,1140352.513,175439.314,Region0
-59.197,-54.196,-63.876,9.657,5.43,16.549,1133664.049,174085.223,Region0
-58.931,-54.196,-63.876,9.366,5.43,16.549,1131455.202,173638.591,Region0
-58.931,-54.196,-63.528,9.366,5.43,15.899,1137247.716,173638.591,Region0
-58.931,-54.196,-63.222,9.366,5.43,15.349,1141991.474,173638.591,Region0
-58.931,-54.196,-63.316,9.366,5.43,15.517,1140564.099,173638.591,Region0
-58.931,-54.196,-63.399,9.366,5.43,15.665,1139285.178,173638.591,Region0
-58.931,-54.196,-63.229,9.366,5.43,15.363,1141875.633,173638.591,Region0
-61.239,-54.196,-63.229,12.217,5.43,15.363,1166883.57,178664.849,Region0
-60.484,-54.196,-63.229,11.199,5.43,15.363,1157137.516,176701.937,Region0
-60.183,-54.196,-63.229,10.818,5.43,15.363,1153724.537,176015.774,Region0
-60.183,-54.196,-63.081,10.818,5.43,15.102,1155946.94,176015.774,Region0
-60.183,-54.196,-63.071,10.818,5.43,15.085,1156090.135,176015.774,Region0
-59.556,-54.196,-63.071,10.065,5.43,15.085,1149699.51,174735.313,Region0
-59.556,-53.809,-63.071,10.065,5.193,15.085,1150017.363,174939.022,Region0
-59.556,-53.809,-62.82,10.065,5.193,14.656,1153575.536,174939.022,Region0
-59.556,-53.809,-62.963,10.065,5.193,14.899,1151572.215,174939.022,Region0
-59.004,-53.809,-62.963,9.445,5.193,14.899,1146684.879,173961.735,Region0
-58.762,-53.809,-62.963,9.185,5.193,14.899,1144729.33,173571.065,Region0
-58.762,-53.809,-62.846,9.185,5.193,14.7,1146359.439,173571.065,Region0
