RSSI1,RSSI2,RSSI3,Distance1,Distance2,Distance3,PosX,PosY,Region
-57.4,-53.055,-64.706,7.852,4.761,18.209,1106395.365,172094.679,Region0
-57.4,-53.055,-64.499,7.852,4.761,17.782,1110526.638,172094.679,Region0
-60.498,-53.055,-64.499,11.218,4.761,17.782,1135912.128,177294.851,Region0
-59.954,-53.055,-64.499,10.536,4.761,17.782,1129997.292,176079.896,Region0
-59.717,-53.055,-64.499,10.253,4.761,17.782,1127658.952,175600.135,Region0
-59.717,-53.048,-64.499,10.253,4.758,17.782,1127663.23,175602.944,Region0
-62.656,-53.048,-64.499,14.382,4.758,17.782,1168781.078,184084.647,Region0
-61.851,-53.048,-64.499,13.108,4.758,17.782,1154456.879,181119.01,Region0
-61.851,-52.8,-64.499,13.108,4.624,17.782,1154616.42,181224.526,Region0
-61.851,-52.582,-64.499,13.108,4.509,17.782,1154749.342,181312.473,Region0
-61.851,-52.633,-64.499,13.108,4.536,17.782,1154719.085,181292.451,Region0
-61.142,-52.633,-64.499,12.082,4.536,17.782,1144255.938,179131.943,Region0
-60.883,-52.633,-64.499,11.726,4.536,17.782,1140852.088,178430.431,Region0
-60.883,-52.633,-64.56,11.726,4.536,17.906,1139625.859,178430.431,Region0
-60.883,-52.633,-64.734,11.726,4.536,18.269,1136009.387,178430.431,Region0
-60.413,-52.633,-64.734,11.109,4.536,18.269,1130381.404,177267.063,Region0
-60.121,-52.633,-64.734,10.741,4.536,18.269,1127191.106,176608.404,Region0
-60.121,-52.633,-65.009,10.741,4.536,18.855,1121270.265,176608.404,Region0
-60.121,-52.633,-64.765,10.741,4.536,18.335,1126536.043,176608.404,Region0
-59.743,-52.633,-64.765,10.284,4.536,18.335,1122729.647,175822.861,Region0
-59.653,-52.633,-64.765,10.178,4.536,18.335,1121872.654,175646.115,Region0
-59.574,-52.633,-64.765,10.086,4.536,18.335,1121134.432,175493.899,Region0
-59.574,-52.633,-64.794,10.086,4.536,18.395,1120536.108,175493.899,Region0
-59.574,-52.677,-64.794,10.086,4.559,18.395,1120510.016,175476.676,Region0
